Horario: 7:00 - 9:00,Horario: 9:00 - 11:00,Horario: 11:00 - 13:00,Horario: 13:00 - 15:00,Horario: 15:00 - 17:00,Horario: 17:00 - 19:00
0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
